Sat Jul 11 15:48:35 2020 Epoch 98, lr: 0.0010000, train loss: 0.39041, val loss: 0.39041
Sat Jul 11 15:49:25 2020 Epoch 99, lr: 0.0010000, train loss: 0.52016, val loss: 0.52016
Sat Jul 11 15:50:13 2020 Epoch 100, lr: 0.0010000, train loss: 0.62944, val loss: 0.62944
Sat Jul 11 15:51:02 2020 Epoch 101, lr: 0.0010000, train loss: 0.76165, val loss: 0.76165
Sat Jul 11 15:51:50 2020 Epoch 102, lr: 0.0010000, train loss: 0.66259, val loss: 0.66259
Sat Jul 11 15:52:39 2020 Epoch 103, lr: 0.0010000, train loss: 0.51078, val loss: 0.51078
Sat Jul 11 15:53:28 2020 Epoch 104, lr: 0.0010000, train loss: 0.42570, val loss: 0.42570
Sat Jul 11 15:54:30 2020 Epoch 105, lr: 0.0010000, train loss: 0.38699, val loss: 0.38699
Sat Jul 11 15:55:20 2020 Epoch 106, lr: 0.0010000, train loss: 0.39707, val loss: 0.39707
Sat Jul 11 15:56:08 2020 Epoch 107, lr: 0.0010000, train loss: 0.39361, val loss: 0.39361
Sat Jul 11 15:56:57 2020 Epoch 108, lr: 0.0010000, train loss: 0.64513, val loss: 0.64513
Sat Jul 11 15:57:45 2020 Epoch 109, lr: 0.0010000, train loss: 0.65722, val loss: 0.65722
Sat Jul 11 15:58:34 2020 Epoch 110, lr: 0.0010000, train loss: 0.59251, val loss: 0.59251
Sat Jul 11 15:59:23 2020 Epoch 111, lr: 0.0010000, train loss: 0.47020, val loss: 0.47020
Sat Jul 11 16:00:12 2020 Epoch 112, lr: 0.0010000, train loss: 0.39052, val loss: 0.39052
Sat Jul 11 16:01:14 2020 Epoch 113, lr: 0.0010000, train loss: 0.33633, val loss: 0.33633
Sat Jul 11 16:02:17 2020 Epoch 114, lr: 0.0010000, train loss: 0.30621, val loss: 0.30621
